id,property,needs_translation,default,translated
1934,SYNONYM,f,Helminthosporium spiciferum,
1568,SYNONYM,t,Hepatitis A virus,Hepatitis-A-Virus
2641,SYNONYM,t,Hepatitis C virus,Hepatitis-C-Virus
2653,SYNONYM,t,Hepatitis G virus,Hepatitis-G-Virus
2617,SYNONYM,t,Herpes simplex virus type 1,Herpes-simplex-Virus Typ 1
2619,SYNONYM,t,Herpes simplex virus type 2,Herpes-simplex-Virus Typ 2
822,SYNONYM,f,Hormiscium dermatitidis,
510,SYNONYM,f,Hormodendrum dermatitidis,
803,SYNONYM,f,Hormonema,
2676,SYNONYM,t,Human T-lymphotropic virus 1,Humanes T-lymphotropes Virus 1
2678,SYNONYM,t,Human T-lymphotropic virus 2,Humanes T-lymphotropes Virus 2
2605,SYNONYM,t,Human cytomegalovirus,Humanes Cytomegalievirus
2650,SYNONYM,t,Human hepatitis E virus,Humanes Hepatitis-E-Virus
2671,SYNONYM,t,Human herpesvirus 6A,Humanes Herpesvirus 6A
2673,SYNONYM,t,Human herpesvirus 6B,Humanes Herpesvirus 6B
2631,SYNONYM,t,Human herpesvirus 8,Humanes Herpesvirus 8
2662,SYNONYM,t,Human parainfluenza virus 1,Humanes Parainfluenza-Virus 1
2664,SYNONYM,t,Human parainfluenza virus 2,Humanes Parainfluenza-Virus 2
2666,SYNONYM,t,Human parainfluenza virus 3,Humanes Parainfluenza-Virus 3
2668,SYNONYM,t,Human parainfluenza virus 4,Humanes Parainfluenza-Virus 4
2613,SYNONYM,t,Human parvovirus B19,Humanes Parvovirus B19
2652,SYNONYM,t,Human pegivirus,Humanes Pegivirus
2643,SYNONYM,t,Human polyomavirus 1,Humanes Polyomavirus 1
2683,SYNONYM,t,Human polyomavirus 2,Humanes Polyomavirus 2
376,SYNONYM,t,Human respiratory syncytial virus,Humanes Respiratorisches Synzytial-Virus
2526,SYNONYM,t,Influenza A virus,Influenza-A-Virus
710,SYNONYM,t,Influenza B virus,Influenza-B-Virus
1420,SYNONYM,t,Influenza C virus,Influenza-C-Virus
2657,SYNONYM,t,Influenza D virus,Influenza-D-Virus
2684,SYNONYM,t,JC polyomavirus,JC-Polyomavirus
2685,SYNONYM,t,JC virus,JC-Virus
2630,SYNONYM,t,Kaposi's sarcoma-associated herpesvirus,Kaposi-Sarkom-Herpesvirus
951,SYNONYM,f,Kingella indologenes,
1832,SYNONYM,f,Klebsiella ornithinolytica,
926,SYNONYM,f,Klebsiella ozaenae,
476,SYNONYM,f,Klebsiella planticola,
2549,SYNONYM,f,Klebsiella rhinoscleromatis,
1607,SYNONYM,f,Klebsiella singaporensis,
760,SYNONYM,f,Klebsiella terrigena,
2149,SYNONYM,f,Klebsiella trevisanii,
604,SYNONYM,f,Kloeckera,
2485,SYNONYM,f,Kocuria erythromyxa,
809,SYNONYM,f,Kocuria kristinae,
1922,SYNONYM,f,Koserella trabulsii,
515,SYNONYM,f,Lactobacillus antri,
279,SYNONYM,f,Lactobacillus arizonensis,
2429,SYNONYM,f,Lactobacillus brevis,
2185,SYNONYM,f,Lactobacillus buchneri,
551,SYNONYM,f,Lactobacillus casei,
466,SYNONYM,f,Lactobacillus catenaformis,
552,SYNONYM,f,Lactobacillus cellobiosus,
305,SYNONYM,f,Lactobacillus confusus,
1299,SYNONYM,f,Lactobacillus fermentum,
2310,SYNONYM,f,Lactobacillus gastricus,
1983,SYNONYM,f,Lactobacillus minutus,
1399,SYNONYM,f,Lactobacillus oris,
462,SYNONYM,f,Lactobacillus paracasei,
1986,SYNONYM,f,Lactobacillus plantarum,
428,SYNONYM,f,Lactobacillus reuteri,
2221,SYNONYM,f,Lactobacillus rhamnosus,
356,SYNONYM,f,Lactobacillus rimae,
1342,SYNONYM,f,Lactobacillus sakei,
1442,SYNONYM,f,Lactobacillus salivarius,
703,SYNONYM,f,Lactobacillus vaginalis,
1353,SYNONYM,f,Lactobacillus vitulinus,
981,SYNONYM,t,Lassa virus,Lassa-Virus
1519,SYNONYM,f,Lecythophora,
1608,SYNONYM,f,Lecythophora hoffmannii,
1957,SYNONYM,f,Lecythophora mutabilis,
2907,SYNONYM,f,Legionella bozemanii,
443,SYNONYM,f,Legionella pittsburghensis,
1494,SYNONYM,f,Leptotrichia goodfellowii,
1033,SYNONYM,f,Leuconostoc amelibiosum,
1471,SYNONYM,f,Levinea amalonatica,
1283,SYNONYM,f,Listeria denitrificans,
1385,SYNONYM,f,Lucibacterium harveyi,
2070,SYNONYM,t,Lymphocytic choriomeningitis virus,Lymphozytäres-Choriomeningitis-Virus
959,SYNONYM,f,Macrosporium,
513,SYNONYM,f,Madurella mycetomi,
607,SYNONYM,t,Measles virus,Masernvirus
1590,SYNONYM,f,Megamonas hypermegas,
164,SYNONYM,f,Methylobacterium zatmanii,
508,SYNONYM,f,Micrococcus halobius,
2536,SYNONYM,f,Micrococcus kristinae,
408,SYNONYM,f,Micrococcus nishinomiyaensis,
1647,SYNONYM,f,Micrococcus roseus,
468,SYNONYM,f,Micrococcus sedentarius,
204,SYNONYM,f,Micropolyspora brevicatena,
2326,SYNONYM,f,Microsporum brachytomum,
1593,SYNONYM,f,Mitsuokella dentalis,
1468,SYNONYM,f,Monosporium apiospermum,
689,SYNONYM,f,Moraxella anatipestifer,
837,SYNONYM,f,Moraxella phenylpyruvica,
705,SYNONYM,f,Moraxella urethralis,
872,SYNONYM,f,Mortierella wolfii,
1428,SYNONYM,f,Mucor javanicus,
990,SYNONYM,f,Mucor pusillus,
1059,SYNONYM,t,Mumps virus,Mumpsvirus
