id,code,name,programRuleVariableSourceType,valueType,useCodeForOptionSet,program,dataElement,trackedEntityAttribute,programStage,sharing
tnbVpKEYO85,NEOIPC_NEC_PNEUMAT_INT_SURG_UINT,NeoIPC NEC Pneumatosis intestinalis surgical uint value,CALCULATED_VALUE,INTEGER_ZERO_OR_POSITIVE,False,D8mSSpOpsKj,,,,
mAW7JgTrlDE,NEOIPC_NEC_PNEUMOPERITONEUM_COUNT,Pneumoperitoneum - count,CALCULATED_VALUE,INTEGER,False,D8mSSpOpsKj,,,,
DniUMrXICVm,NEOIPC_NEC_PNEUMOPERITONEUM_CUR,NeoIPC NEC Pneumoperitoneum value,DATAELEMENT_CURRENT_EVENT,BOOLEAN,True,D8mSSpOpsKj,kqSndqsPCLA,,,
IRDehlkhE6C,NEOIPC_NEC_PNEUMOPERITONEUM_UINT,NeoIPC NEC Pneumoperitoneum uint value,CALCULATED_VALUE,INTEGER_ZERO_OR_POSITIVE,False,D8mSSpOpsKj,,,,
xRaEnfQER4n,NEOIPC_NEC_PORTAL_VENOUS_GAS_COUNT,Portal venous gas - count,CALCULATED_VALUE,INTEGER,False,D8mSSpOpsKj,,,,
opUySHOPvhw,NEOIPC_NEC_PORTAL_VENOUS_GAS_CUR,NeoIPC NEC Portal venous gas value,DATAELEMENT_CURRENT_EVENT,BOOLEAN,True,D8mSSpOpsKj,vVI3Cks7WgS,,,
A6dAzZkUnJQ,NEOIPC_NEC_PORTAL_VENOUS_GAS_UINT,NeoIPC NEC Portal venous gas uint value,CALCULATED_VALUE,INTEGER_ZERO_OR_POSITIVE,False,D8mSSpOpsKj,,,,
feM8pzVDmA4,NEOIPC_NEC_SEC_BSI_AGENT_1_3GCR_CUR,NeoIPC NEC Secondary BSI pathogen 1 3GCR value,DATAELEMENT_CURRENT_EVENT,INTEGER,False,D8mSSpOpsKj,u0tZWVB3f3y,,,
AnjVsFtCsor,NEOIPC_NEC_SEC_BSI_AGENT_1_CAR_CUR,NeoIPC NEC Secondary BSI pathogen 1 carbapenem-resistant value,DATAELEMENT_CURRENT_EVENT,INTEGER,False,D8mSSpOpsKj,G7uFGI11Bdr,,,
Y9wm5zUpUNu,NEOIPC_NEC_SEC_BSI_AGENT_1_COR_CUR,NeoIPC NEC Secondary BSI pathogen 1 colistin-resistant value,DATAELEMENT_CURRENT_EVENT,INTEGER,False,D8mSSpOpsKj,TXKgizEyv6g,,,
SMAtohvrFnL,NEOIPC_NEC_SEC_BSI_AGENT_1_MRSA_CUR,NeoIPC NEC Secondary BSI pathogen 1 MRSA value,DATAELEMENT_CURRENT_EVENT,INTEGER,False,D8mSSpOpsKj,ijekJ6XPx9C,,,
oFkE5CbIUA3,NEOIPC_NEC_SEC_BSI_AGENT_1_NAME_CUR,NeoIPC NEC Secondary BSI pathogen 1 name value,DATAELEMENT_CURRENT_EVENT,TEXT,False,D8mSSpOpsKj,gGY64LFTCHE,,,
AsNSD0mSxYV,NEOIPC_NEC_SEC_BSI_AGENT_1_VRE_CUR,NeoIPC NEC Secondary BSI pathogen 1 VRE value,DATAELEMENT_CURRENT_EVENT,INTEGER,False,D8mSSpOpsKj,Aawy9BpDWc2,,,
CvxiLfNvZlM,NEOIPC_NEC_SEC_BSI_AGENT_2_3GCR_CUR,NeoIPC NEC Secondary BSI pathogen 2 3GCR value,DATAELEMENT_CURRENT_EVENT,INTEGER,False,D8mSSpOpsKj,N36tBx8ZMt6,,,
lyZQnMuPbI9,NEOIPC_NEC_SEC_BSI_AGENT_2_CAR_CUR,NeoIPC NEC Secondary BSI pathogen 2 carbapenem-resistant value,DATAELEMENT_CURRENT_EVENT,INTEGER,False,D8mSSpOpsKj,HKVzlJtMrqG,,,
TCec5uhVilK,NEOIPC_NEC_SEC_BSI_AGENT_2_COR_CUR,NeoIPC NEC Secondary BSI pathogen 2 colistin-resistant value,DATAELEMENT_CURRENT_EVENT,INTEGER,False,D8mSSpOpsKj,U1r2eFwG4GP,,,
