id,programRuleActionType,content,data,location,templateUid,programRule,dataElement,trackedEntityAttribute,programStageSection,programStage,programIndicator,optionGroup,option,sharing
d5zVNae6Sqn,ASSIGN,#{NeoIPC NEC Abdominal discoloration uint value},expressions/programRules/NeoIPC NEC Abdominal discoloration value - true/d5zVNae6Sqn.data.dhis2,,,jxuyugcOILj,,,,,,,,
d9mnGdkECl4,ASSIGN,#{NeoIPC NEC Surgical findings criterion fulfilled},expressions/programRules/NeoIPC NEC Surgical findings criterion fulfilled - assign false/d9mnGdkECl4.data.dhis2,,,EP5qVa9lEpP,,,,,,,,
dGJZdYFQDu0,HIDEFIELD,,,,,ehrBTKxrBMo,u0tZWVB3f3y,,,,,,,
dWiBLolUv7r,HIDESECTION,,,,,jewkCRzEWoA,,,q3ZZZIcjfz0,,,,,
dXvYPH45tae,SHOWWARNING,Implausible number of siblings in one birth.,,,,m6E8WHjIJsK,,RWgBBhSiu5U,,,,,,
dYmNC8SeeSx,ERRORONCOMPLETE,"The NEC definition criteria are not fulfilled. ",,,,FUJje59tZDB,,,,,,,,
daNfJVJx9Gm,ASSIGN,#{NeoIPC BSI White blood cell count count},expressions/programRules/NeoIPC BSI White blood cell count set count/daNfJVJx9Gm.data.dhis2,,,DFTJ8MRSqWH,,,,,,,,
dagWswlR7LB,HIDEFIELD,,,,,ehrBTKxrBMo,UQX3D0E9ARY,,,,,,,
dkNqideENyy,ASSIGN,,expressions/programRules/NeoIPC NEC Set Length of Stay/dkNqideENyy.data.dhis2,,,SXv5r0P3cej,t4xpFiZeCHK,,,,,,,
dpFcrLhZ0kN,ERRORONCOMPLETE,"The definition for organ/space SSI is not met. ",,,,BXVz490aRpj,,,,,,,,
eD5X7l2Z16n,HIDEFIELD,,,,,cnyYkKWdFSV,wexW0dYfxQ7,,,,,,,
eLqdP1rLcKb,SENDMESSAGE,,,,tAH1QllwtxU,BVXHtD6b14r,,,,,,,,
fByTL1GpSPg,SHOWERROR,Kangaroo care days must be less than or equal to patient days,,,,komIcllqdzO,gCZe3wijCy4,,,,,,,
fQcuGNlsW1u,ASSIGN,#{NeoIPC NEC Imaging findings total count},expressions/programRules/NeoIPC NEC - assign finding counts/fQcuGNlsW1u.data.dhis2,,,D47EyNbJ8pQ,,,,,,,,
fVzipb7u7JB,SETMANDATORYFIELD,,,,,LLKgG1MzPPx,vNw0rqjhgW1,,,,,,,
fYDGBWxfaYk,HIDEFIELD,,,,,cnyYkKWdFSV,lWflhXvq2ky,,,,,,,
faTvRQjFlsY,HIDEFIELD,,,,,jhW8xHnD8YD,H6l5ZyB8EHo,,,,,,,
gADByFHDQIv,ASSIGN,#{NeoIPC Patient Gestation weeks},expressions/programRules/NeoIPC Patient Assign gestation days and weeks/gADByFHDQIv.data.dhis2,,,DiT08PWJdBc,,,,,,,,
gY4SFKCv9Ss,SHOWERROR,PVC days must be less than or equal to patient days,,,,GYKv7YBS4WS,ZrBvuqbXY0I,,,,,,,
gb4iMKWD7wv,DISPLAYKEYVALUEPAIR,Surgical findings criterion fulfilled,expressions/programRules/NeoIPC NEC - display feedback/gb4iMKWD7wv.data.dhis2,feedback,,KSOwPDUcO26,,,,,,,,
gi0dmsVCQK9,ASSIGN,#{NeoIPC BSI Common sepsis clinical findings count},expressions/programRules/NeoIPC BSI Assign first finding counts/gi0dmsVCQK9.data.dhis2,,,qcMm39rdO3M,,,,,,,,
giL8IkTqs1J,DISPLAYKEYVALUEPAIR,Common commensal once clinical findings count,expressions/programRules/NeoIPC BSI Debug rule/giL8IkTqs1J.data.dhis2,feedback,,sKUcwpq4TBC,,,,,,,,
gmbDl7TNNGh,HIDEFIELD,,,,,uitFTLJmYup,ADhrdzYPCo2,,,,,,,
gxajYcmXPqX,ASSIGN,#{NeoIPC HAP Bradycardia uint value},expressions/programRules/NeoIPC HAP Bradycardia value - true/gxajYcmXPqX.data.dhis2,,,jNcz3fBOGOl,,,,,,,,
gyTtkdEqXXv,ASSIGN,#{NeoIPC SSI Organisms identified from any site},expressions/programRules/NeoIPC SSI - set organisms identified from any site/gyTtkdEqXXv.data.dhis2,,,RsU18e1lWxE,,,,,,,,
gzDgCi7pvkf,HIDEFIELD,,,,,ehrBTKxrBMo,HKVzlJtMrqG,,,,,,,
h3ISEpfpFMh,SETMANDATORYFIELD,,,,,VOrixcs1pS7,NjFq3pakY2I,,,,,,,
